epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.5912,0.53717,3.58251,0.99226,0.00701,0.85238,0.25523,0.2043,0.43414,4.07662,1.04711,5.555e-05,5.555e-05,5.555e-05
2,42.9943,0.54677,3.32124,1.03527,0.00821,0.96667,0.32375,0.26367,0.46088,3.99969,0.99927,0.00011979,0.00011979,0.00011979
3,63.6232,0.55398,2.9388,1.00138,0.00588,0.96667,0.36514,0.28455,0.53381,3.92667,1.01194,0.000181391,0.000181391,0.000181391
4,83.9644,0.52405,2.48679,0.9897,0.00522,0.96667,0.44363,0.35824,0.58694,3.795,1.04059,0.000240352,0.000240352,0.000240352
5,104.21,0.62248,2.32733,1.00551,0.00576,0.96667,0.54665,0.43241,0.60884,3.72075,1.05264,0.000296673,0.000296673,0.000296673
6,124.623,0.48843,2.06109,0.95138,0.00536,0.96667,0.6962,0.5495,0.64228,3.58972,1.08827,0.000350354,0.000350354,0.000350354
7,145.41,0.51562,2.00503,0.9919,1,0.09598,0.64861,0.51274,0.64197,3.513,1.09759,0.000401395,0.000401395,0.000401395
8,165.965,0.53733,1.87246,1.01739,0.85126,0.33519,0.6727,0.50406,0.63904,3.34497,1.14494,0.000449797,0.000449797,0.000449797
9,186.401,0.56916,1.76967,1.00258,0.88579,0.44113,0.66064,0.50268,0.60596,3.24087,1.17039,0.000495559,0.000495559,0.000495559
10,206.799,0.55431,1.82847,1.01097,0.66882,0.6531,0.74246,0.60897,0.61144,2.96672,1.1508,0.000538682,0.000538682,0.000538682
11,227.258,0.48986,1.67535,0.98708,0.80907,0.47166,0.71354,0.58569,0.58267,3.00869,1.16024,0.000579164,0.000579164,0.000579164
12,247.885,0.53503,1.54423,0.92777,0.53526,0.69048,0.74151,0.62022,0.6102,2.83077,1.18128,0.000617007,0.000617007,0.000617007
13,268.375,0.48532,1.44267,0.96532,0.80647,0.67284,0.85905,0.66182,0.71903,2.58074,1.30313,0.00065221,0.00065221,0.00065221
14,288.924,0.55364,1.48742,0.99983,0.72914,0.65933,0.81207,0.60596,0.75276,2.99748,1.31039,0.000684774,0.000684774,0.000684774
15,309.39,0.56649,1.53774,0.99619,0.81401,0.53008,0.76215,0.54289,0.79854,3.09322,1.37128,0.000714697,0.000714697,0.000714697
16,330.747,0.52971,1.46978,0.97411,0.67809,0.69729,0.81941,0.59779,0.79865,2.71102,1.44461,0.000741981,0.000741981,0.000741981
17,351.159,0.53639,1.37656,0.95861,0.75595,0.80238,0.88371,0.65386,0.76957,2.5154,1.4842,0.000759035,0.000759035,0.000759035
18,371.576,0.57502,1.49481,0.99784,0.55657,0.89746,0.83523,0.56632,0.947,2.44146,1.64578,0.000737037,0.000737037,0.000737037
19,392.157,0.48764,1.3422,0.94676,0.61011,0.84155,0.87376,0.61693,0.89157,2.4565,1.4591,0.00071504,0.00071504,0.00071504
20,412.595,0.46482,1.30429,0.94181,0.81472,0.83673,0.86647,0.63275,0.88729,2.34092,1.44886,0.000693042,0.000693042,0.000693042
21,433.064,0.47523,1.12975,0.95227,0.74777,0.86271,0.85664,0.62388,0.89597,2.33557,1.40529,0.000671044,0.000671044,0.000671044
22,453.46,0.49068,1.26416,0.94272,0.76949,0.80868,0.88062,0.70656,0.71077,2.285,1.25631,0.000649046,0.000649046,0.000649046
23,474.024,0.44954,1.15352,0.9192,0.78049,0.85189,0.89266,0.69479,0.67369,2.2547,1.24245,0.000627048,0.000627048,0.000627048
24,494.46,0.45541,1.23457,0.95253,0.85024,0.82098,0.92112,0.74813,0.65075,2.36611,1.21401,0.000605051,0.000605051,0.000605051
25,514.874,0.44318,1.13777,0.92503,0.78625,0.94731,0.93032,0.75343,0.60589,2.27252,1.20024,0.000583053,0.000583053,0.000583053
26,535.279,0.46928,1.19938,0.95232,0.93496,0.91554,0.98133,0.8155,0.58767,1.82901,1.1609,0.000561055,0.000561055,0.000561055
27,555.769,0.43605,1.08407,0.93289,0.82544,0.96977,0.94129,0.78992,0.5627,1.83238,1.12616,0.000539057,0.000539057,0.000539057
28,576.244,0.50683,1.16291,0.95338,0.86338,0.90602,0.93907,0.79113,0.56405,1.7895,1.11819,0.000517059,0.000517059,0.000517059
29,596.648,0.44563,1.126,0.98573,0.88729,0.93333,0.93217,0.77457,0.5638,1.78041,1.12327,0.000495062,0.000495062,0.000495062
30,617.055,0.46583,1.04746,0.97426,0.87089,0.91475,0.93887,0.75707,0.55257,1.90388,1.17124,0.000473064,0.000473064,0.000473064
31,637.533,0.4224,1.06244,0.92515,0.79779,0.96531,0.93029,0.7605,0.5496,1.80905,1.147,0.000451066,0.000451066,0.000451066
32,657.998,0.45498,1.0318,0.95756,0.94397,0.78589,0.92331,0.77701,0.53387,1.69407,1.10988,0.000429068,0.000429068,0.000429068
33,678.431,0.42096,1.02656,0.92369,0.89225,0.85461,0.92241,0.75683,0.52581,1.70085,1.09981,0.00040707,0.00040707,0.00040707
34,698.88,0.43222,0.98238,0.91273,0.89067,0.91125,0.94577,0.78927,0.50685,1.69974,1.1269,0.000385073,0.000385073,0.000385073
35,719.37,0.42622,0.98522,0.94583,0.84504,0.90212,0.9385,0.79119,0.49896,1.72271,1.09774,0.000363075,0.000363075,0.000363075
36,739.856,0.3864,0.97449,0.91151,0.93934,0.82206,0.94262,0.79362,0.55242,1.77972,1.1336,0.000341077,0.000341077,0.000341077
37,760.311,0.39566,0.94168,0.91134,0.88248,0.83542,0.91968,0.76389,0.55284,1.78669,1.13087,0.000319079,0.000319079,0.000319079
38,780.69,0.36298,0.87964,0.92096,0.85905,0.84423,0.87419,0.72573,0.59973,1.78238,1.19259,0.000297081,0.000297081,0.000297081
39,801.088,0.40107,0.89389,0.88889,0.79221,0.86598,0.8598,0.73374,0.5824,1.7311,1.15725,0.000275084,0.000275084,0.000275084
40,821.519,0.39893,0.95517,0.91568,0.78345,0.79501,0.88157,0.76255,0.54279,1.73374,1.10142,0.000253086,0.000253086,0.000253086
41,841.862,0.33735,1.13912,0.86618,0.72522,0.90696,0.87732,0.76482,0.52514,1.69656,1.07984,0.000231088,0.000231088,0.000231088
